label.delta,label.k_dn,label.k_up,label.n_v,label.t_fill_min,signal.k_h,signal,n_events,fill_rate,n_filled,mean_ret_net,t_stat,win_rate,bt_n_trades,bt_total_return,bt_sharpe,trial_hash,daily_sr,n_days,skew,kurt
0.0,1.0,1.0,16,15,3.0,breakout,14882,0.825964252116651,12292,-0.0018073827410480577,-36.87327443970462,0.39960950211519686,3763,-0.9999253435956912,-5.634438474732065,6a665004b27f,-0.2949199888037478,3327,-6.0599818797812866,73.08309594241315
0.0,1.0,1.0,16,15,4.0,dip,9200,0.8376086956521739,7706,-0.0014952091554403858,-26.583794404878972,0.41370360757851027,5392,-0.9996076253916464,-6.096725452299936,5cca7d0c0fea,-0.31911719511984277,3327,-1.8057273652267736,17.942550230241586
0.0,1.0,1.0,16,15,4.0,breakout,9899,0.8229114051924437,8146,-0.0018120585039565248,-30.709768475784326,0.39798674195924383,3868,-0.9997667643562568,-5.816120524144964,5cca7d0c0fea,-0.30442966190054066,3327,-3.039264534298294,37.55394726810987
0.0,1.0,1.0,16,60,1.0,dip,50976,0.8958137162586315,45665,-0.0014974719177777034,-64.36881203195469,0.41852622358480235,3607,-0.9999632953846396,-4.039784277490995,b6f1d4151915,-0.21145197329426088,3327,-5.75416007586869,46.175196746332986
0.0,1.0,1.0,16,60,1.0,breakout,52920,0.898790627362056,47564,-0.0016912946844913847,-70.68388295478356,0.40747203767555296,1548,-0.9999636593240987,-3.851860946164309,b6f1d4151915,-0.20161561657133747,3327,-6.824973418507234,59.75402922195783
0.0,1.0,1.0,16,60,2.0,dip,23979,0.8955335918929063,21474,-0.0014422993137712282,-42.305588025155885,0.42320946260594206,6155,-0.9999281064610708,-5.034647835472318,dd3897e74d9b,-0.26352551189032497,3327,-4.2600537186473435,39.25554273747071
0.0,1.0,1.0,16,60,2.0,breakout,25239,0.9038789175482388,22813,-0.001859486633536224,-51.527363907471866,0.3970104764827072,2060,-0.9999631970564766,-4.322685355312756,dd3897e74d9b,-0.22625969248010747,3327,-6.559224378540684,68.6572961841125
0.0,1.0,1.0,16,60,3.0,dip,14106,0.8916064086204452,12577,-0.0014728542026728488,-33.18971836683064,0.4215631708674565,5455,-0.9997784508048403,-5.307892672931508,a1acc9b9c168,-0.2778278003553664,3327,-3.2451130354513893,35.68687833685298
0.0,1.0,1.0,16,60,3.0,breakout,14882,0.9093535815078618,13533,-0.0019125073535739589,-39.28617330081203,0.395256040789182,2834,-0.9999323934055392,-4.726725805006053,a1acc9b9c168,-0.2474081361864654,3327,-7.311704531448528,95.35954047707592
0.0,1.0,1.0,16,60,4.0,dip,9200,0.8972826086956521,8255,-0.0015308454761947233,-27.94369371705453,0.4125984251968504,5327,-0.9996869663689846,-6.031824824247722,d6939e939e3b,-0.3157201409884769,3327,-2.227088939971533,19.664232429873593
